State,Population,Area
Alabama,4903185,50645.33
Alaska,731545,570640.95
Arizona,7278717,113594.08
Arkansas,3017804,52035.48
California,39512223,155779.22
Colorado,5758736,103641.89
Connecticut,3565287,4842.36
Delaware,973764,1948.54
District of Columbia,705749,61.05
Florida,21477737,53624.76
Georgia,10617423,57513.49
Hawaii,1415872,6422.63
Idaho,1787065,82643.12
Illinois,12671821,55518.93
Indiana,6732219,35826.11
Iowa,3155070,55857.13
Kansas,2913314,81758.72
Kentucky,4467673,39486.34
Louisiana,4648794,43203.9
Maine,1344212,30842.92
Maryland,6045680,9707.24
Massachusetts,6892503,7800.06
Michigan,9986857,56538.9
Minnesota,5639632,79626.74
Mississippi,2976149,46923.27
Missouri,6137428,68741.52
Montana,1068778,145545.8
Nebraska,1934408,76824.17
Nevada,3080156,109781.18
New Hampshire,1359711,8952.65
New Jersey,8882190,7354.22
New Mexico,2096829,121298.15
New York,19453561,47126.4
North Carolina,10488084,48617.91
North Dakota,762062,69000.8
Ohio,11689100,40860.69
Oklahoma,3956971,68594.92
Oregon,4217737,95988.01
Pennsylvania,12801989,44742.7
Rhode Island,1059361,1033.81
South Carolina,5148714,30060.7
South Dakota,884659,75811.0
Tennessee,6829174,41234.9
Texas,28995881,261231.71
Utah,3205958,82169.62
Vermont,623989,9216.66
Virginia,8535519,39490.09
Washington,7614893,66455.52
West Virginia,1792147,24038.21
Wisconsin,5822434,54157.8
Wyoming,578759,97093.14
